Track	Url_img	Album	Speechiness	Acousticness	Liveness	Valence	Energy	Link
1 TO 10	https://i.scdn.co/image/ab67616d0000b273836dfeeabc0e33ace0227d47	Twicecoaster: Lane 2	0.225	0.133	0.166	0.735	0.84	https://open.spotify.com/track/6zBTo3EFNeEzkHcivPfztW
1, 3, 2 (JEONGYEON, MINA, TZUYU)	https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82	Formula Of Love: O+T=<3	0.0463	0.0799	0.222	0.708	0.875	https://open.spotify.com/track/6bS9w12VuyaqkbNKnw5zZE
21:29	https://i.scdn.co/image/ab67616d0000b27349b81808fcdaeeb55bef59d1	Feel Special	0.0427	0.126	0.429	0.616	0.727	https://open.spotify.com/track/3TzMWtr6hB1PlPiT1b4PRR
24/7	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.0705	0.0678	0.387	0.548	0.744	https://open.spotify.com/track/2JzPQPg0Sq9s3EcBJsBn2D
AFTER MOON	https://i.scdn.co/image/ab67616d0000b27306ed5d1d101e98e6a270b570	The Year Of ""Yes""	0.082	0.572	0.121	0.413	0.65	https://open.spotify.com/track/63yxSWKKxV6LC0Jsh0knbI
ALCOHOL-FREE	https://i.scdn.co/image/ab67616d0000b273feede28e85bb57807a272a2b	Taste Of Love	0.0624	0.0474	0.0674	0.702	0.909	https://open.spotify.com/track/0BTaaKT4RMbs5M73tOHX5Y
BABY BLUE LOVE	https://i.scdn.co/image/ab67616d0000b273feede28e85bb57807a272a2b	Taste Of Love	0.0481	0.0313	0.118	0.72	0.838	https://open.spotify.com/track/7Jzo3IObpANz6giPTUrihB
BASICS	https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340	Between 1&2	0.227	0.254	0.139	0.585	0.8	https://open.spotify.com/track/63mL1DdcSFfxVJ9XGnSRQz
BDZ	https://i.scdn.co/image/ab67616d0000b273cc72cf8eb5fc820d2cb571d6	Bdz (Repackage)	0.0444	0.0113	0.108	0.668	0.862	https://open.spotify.com/track/3YKGJ5tan46uwhJ6xtaZMM
BE AS ONE	https://i.scdn.co/image/ab67616d0000b273cc72cf8eb5fc820d2cb571d6	Bdz (Repackage)	0.0361	0.465	0.0975	0.358	0.558	https://open.spotify.com/track/6XRrmw9NXpXmZFauqhuVoV
